Location,ISO3166-1numericcode,xPosdata,yPosdata,Year1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Somalia,706,,,2264,2492,2756,3070,3445,3881,6090,6068,6322,6346,7385,8467,9582,10787,12423,14344,16493,18844,21388,24119,27030,30101,33285,36541,39835,43139,46412,49603,52670,55582,58311
SouthSudan,728,,,2583,2721,2955,3264,3647,4117,4701,5445,5762,5453,6693,8100,10056,12340,14122,15951,17810,19747,21744,23786,25855,27920,29941,31882,33726,35446,37029,38462,39729,40822,41752
Uganda,800,,,5158,5899,6788,8014,9446,10827,12548,14631,17384,20413,23758,28042,33149,39032,45856,53497,61929,71102,80904,91190,101873,112864,124029,135228,146276,157089,167483,177374,186650,195177,202868
UnitedRepublicofTanzania,834,,,7650,8741,10074,11684,13606,15980,18685,21842,25458,29903,33992,39066,45649,53470,62267,72033,82927,95005,108174,122259,137136,152692,168831,185437,202342,219332,236225,252823,268963,284452,299133
Zambia,894,,,2317,2644,3050,3560,4185,4983,5929,7017,8143,9254,10585,12044,13917,16212,18882,21892,25313,29141,33371,37990,42975,48282,53885,59754,65870,72182,78652,85212,91808,98380,104869
Zimbabwe,716,,,2747,3204,3752,4422,5206,6170,7289,8863,10485,11683,12500,12984,13974,15603,17471,19370,21353,23405,25510,27606,29615,31472,33146,34642,35969,37128,38113,38922,39547,39991,40263
Angola,24,,,4355,4808,5271,5765,6301,7107,8212,9745,11128,13043,15059,17913,21220,25022,29245,34016,39351,45230,51581,58349,65473,72905,80565,88359,96196,103977,111604,118975,126014,132625,138738
Cameroon,120,,,4466,4874,5361,5988,6771,7740,8932,10381,12070,13930,15928,18127,20591,23344,26333,29530,32947,36577,40398,44346,48362,52405,56430,60386,64222,67876,71320,74525,77448,80067,82382
CentralAfricanRepublic,140,,,1327,1399,1504,1649,1829,2017,2274,2627,2938,3336,3726,4056,4445,4900,5409,5942,6490,7051,7623,8204,8782,9343,9874,10367,10815,11216,11572,11881,12142,12353,12515
Chad,148,,,2502,2736,3003,3311,3645,4089,4513,5093,5958,7002,8343,10068,11896,14037,16431,19075,21946,25010,28247,31631,35131,38718,42355,46013,49642,53205,56664,59981,63137,66126,68927
Congo,178,,,808,899,1014,1158,1335,1556,1802,2084,2386,2721,3109,3503,4066,4620,5263,5983,6790,7681,8647,9668,10732,11837,12979,14152,15339,16527,17702,18852,19964,21021,22015
DemocraticRepublicoftheCongo,180,,,12184,13518,15248,17370,20010,22902,26357,29986,34963,42184,48049,56090,65939,77267,90169,104536,120304,137444,155794,175145,195277,216046,237217,258498,279644,300399,320393,339399,357191,373715,388733
EquatorialGuinea,226,,,226,238,252,269,291,238,221,314,377,448,531,626,729,845,971,1102,1238,1378,1521,1667,1816,1966,2113,2255,2390,2517,2634,2740,2834,2915,2984
Gabon,266,,,473,483,499,533,590,650,729,830,952,1086,1232,1378,1542,1725,1917,2116,2321,2531,2743,2955,3164,3364,3551,3724,3882,4024,4148,4255,4343,4413,4466
SaoTomeandPrincipe,678,,,60,59,64,65,74,83,95,104,114,126,137,153,171,190,211,233,256,280,305,329,353,376,399,421,442,462,480,497,512,526,538
Algeria,912,,,49222,55729,63697,72801,82883,93613,106908,122978,140117,157438,171891,186917,203717,223892,244445,263892,282448,300870,319357,337359,354304,369835,383884,396573,408015,418232,427341,435350,442234,447750,451763
Egypt,12,,,8872,9830,11125,12627,14550,16709,19338,22566,25912,28904,31184,33268,36036,39667,43008,45865,48274,50424,52496,54546,56461,58041,59183,59942,60454,60824,61115,61321,61422,61348,61060
Libya,818,,,20897,23656,27072,30873,34809,38624,43370,49374,56397,62435,68335,74942,82041,91508,100518,108939,117102,125589,134428,143064,151111,158493,165322,171682,177557,182841,187609,191832,195518,198544,200802
Morocco,434,,,1113,1233,1435,1717,2114,2622,3191,3841,4398,4878,5337,5802,6266,6278,6700,7086,7418,7713,7980,8207,8375,8474,8516,8523,8515,8500,8476,8432,8360,8260,8144
Sudan,504,,,8986,10503,12329,14248,16040,17855,20072,22596,24950,27162,28951,30385,32108,34378,36444,38255,39787,41073,42148,43027,43696,44144,44364,44370,44184,43857,43414,42891,42298,41632,40888
Tunisia,729,,,5734,6543,7527,8739,10233,12076,14418,17098,20009,24692,28080,31990,36115,40235,45308,50740,56443,62331,68311,74307,80284,86212,92015,97630,102980,108002,112636,116893,120777,124251,127328
WesternSahara,788,,,3605,3944,4176,4545,5060,5652,6368,7322,8233,9114,9699,10102,10639,11254,11835,12320,12686,12955,13166,13342,13476,13541,13530,13452,13333,13201,13072,12949,12820,12671,12494
Botswana,732,,,14,21,33,51,77,75,151,182,217,253,306,428,512,573,631,687,738,785,828,867,901,930,955,975,992,1007,1020,1030,1039,1044,1047
Lesotho,913,,,15588,17487,19724,22417,25454,29093,32997,37489,42049,47375,51451,55274,59067,62634,65484,67897,70116,72246,74308,76260,78029,79510,80662,81509,82068,82352,82392,82226,81885,81382,80737
Namibia,72,,,413,470,524,596,693,822,996,1183,1380,1576,1737,1864,2048,2262,2460,2646,2817,2976,3126,3265,3389,3492,3573,3632,3674,3702,3719,3725,3720,3705,3681
SouthAfrica,426,,,734,788,851,933,1032,1149,1307,1468,1598,1754,1856,1926,2011,2135,2258,2373,2486,2603,2728,2858,2987,3107,3210,3297,3368,3426,3472,3507,3531,3545,3548
Swaziland,516,,,485,538,603,683,780,906,1013,1149,1415,1654,1898,2027,2194,2459,2731,3002,3272,3539,3805,4068,4322,4560,4780,4979,5156,5309,5440,5547,5631,5692,5730
Benin,710,,,13683,15385,17396,19814,22503,25699,29077,32983,36793,41427,44897,48353,51622,54490,56669,58436,60034,61551,63001,64348,65540,66493,67183,67636,67865,67878,67703,67374,66920,66355,65696
BurkinaFaso,748,,,273,307,349,392,446,517,603,705,863,963,1064,1105,1193,1287,1366,1438,1507,1576,1648,1722,1792,1857,1915,1965,2005,2037,2059,2074,2082,2085,2082
CaboVerde,914,,,70769,77001,84946,94570,106015,120045,137414,157658,180331,206419,235235,268498,307982,353224,402831,457071,516290,580558,649499,722233,797877,875803,955430,1035998,1116836,1196986,1275397,1351037,1423409,1491717,1555840
C™ted'Ivoire,204,,,2255,2304,2432,2632,2908,3263,3718,4287,5001,5986,6949,8182,9510,10880,12361,13937,15593,17306,19050,20803,22549,24270,25946,27554,29070,30475,31756,32905,33915,34791,35544
Gambia,854,,,4284,4517,4829,5175,5625,6155,6823,7728,8811,10090,11608,13422,15632,18106,20861,23903,27244,30859,34695,38689,42789,46978,51221,55463,59648,63733,67641,71352,74818,78044,80990
Ghana,132,,,178,197,202,231,270,273,286,314,341,389,439,474,490,521,553,585,614,642,667,689,707,721,730,735,735,731,724,714,704,692,680
Guinea,384,,,2630,2979,3475,4220,5242,6606,8266,10158,12166,14404,16518,18133,20132,22702,25566,28717,32143,35857,39882,44204,48797,53643,58717,63964,69342,74797,80285,85724,91065,96233,101154
Guinea-Bissau,270,,,271,304,368,401,447,521,604,732,917,1066,1229,1441,1693,1991,2326,2698,3105,3544,4010,4492,4981,5471,5954,6425,6878,7307,7705,8066,8385,8661,8896
Liberia,288,,,4981,5680,6652,7711,8597,9831,10802,12716,14628,16761,18825,21390,24318,27410,30530,33678,36865,40123,43454,46799,50071,53203,56175,59003,61686,64188,66462,68477,70222,71733,73033
Mali,324,,,3094,3316,3577,3878,4215,4360,4507,5079,6034,7863,8799,9669,11012,12609,14355,16246,18276,20433,22700,25060,27486,29947,32411,34858,37242,39537,41723,43786,45702,47455,49049
Mauritania,624,,,535,575,616,653,712,778,850,945,1056,1181,1315,1463,1634,1844,2068,2301,2541,2789,3045,3305,3564,3817,4061,4295,4518,4727,4919,5093,5246,5377,5489
Niger,430,,,930,1010,1120,1253,1420,1629,1893,2197,2103,2080,2892,3270,3958,4503,5091,5728,6414,7140,7892,8661,9436,10215,10992,11757,12495,13201,13863,14474,15032,15533,15977
Nigeria,466,,,4708,4975,5264,5568,5949,6482,7090,7832,8482,9641,11047,12881,15167,17600,20457,23702,27370,31441,35854,40535,45404,50427,55560,60739,65910,71005,75944,80646,85085,89191,92981
SaintHelena,478,,,660,747,858,992,1149,1329,1534,1767,2024,2334,2711,3154,3591,4068,4573,5107,5666,6248,6844,7446,8049,8649,9242,9824,10386,10923,11428,11896,12323,12710,13059
Senegal,562,,,2560,2960,3395,3922,4497,5171,5963,6838,7912,9362,11225,13485,16292,19899,24315,29645,35966,43358,51878,61523,72238,83917,96461,109747,123628,137935,152492,167078,181549,195693,209334
SierraLeone,566,,,37860,41122,45212,50239,56132,63566,73698,83902,95617,108425,122877,139611,159425,182202,206831,233558,262599,293965,327406,362396,398508,435496,473123,510994,548863,586278,622731,657740,691183,722636,752247
Togo,654,,,5,5,5,5,5,5,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
China,768,,,1395,1474,1581,1709,2116,2410,2721,3253,3787,4284,4875,5578,6391,7305,8294,9352,10489,11706,12991,14322,15681,17055,18434,19809,21163,22477,23728,24906,25993,26983,27873
China,HongKongSAR,935,,,1394018,1533706,1686698,1874812,2120430,2378066,2625584,2897177,3202475,3474849,3714470,3944670,4169860,4393296,4598426,4774708,4922830,5045488,5143850,5218033,5266848,5290517,5290030,5270626,5237953,5194087,5140834,5080577,5017487,4953893,4888653
China,MacaoSAR,906,,,666586,730599,788145,862443,978113,1089536,1173372,1258750,1368592,1448738,1496284,1536540,1575320,1612287,1639673,1651108,1650198,1640321,1622927,1598308,1566759,1528656,1484794,1439026,1394198,1350905,1308994,1269248,1233580,1203375,1176865
Dem.People'sRepublicofKorea,156,,,544113,598574,644450,706591,808511,905580,977837,1052622,1154606,1227841,1269975,1305601,1340969,1376049,1402848,1414872,1415545,1408316,1394715,1374657,1348056,1315148,1276757,1236664,1197533,1159645,1122569,1087074,1055073,1028080,1004392
Japan,344,,,1974,2490,3076,3802,3958,4355,5054,5415,5794,6144,6784,6842,6994,7288,7557,7781,7951,8058,8107,8131,8148,8142,8109,8055,7991,7930,7887,7873,7883,7901,7924
Mongolia,446,,,196,181,171,207,251,248,246,296,360,398,432,468,535,588,634,679,720,754,784,811,838,863,886,906,923,938,952,967,984,1003,1023
RepublicofKorea,408,,,10549,10087,11424,12548,14410,16275,17372,18778,20194,21764,22840,23813,24501,25155,25763,26292,26701,26943,27030,27007,26907,26756,26582,26395,26205,26001,25783,25559,25333,25095,24842
Kazakhstan,392,,,82199,88390,92501,97342,103708,110805,115912,119989,122249,124483,125715,126979,127320,126573,125039,122840,120127,117063,113788,110521,107411,104453,101440,98291,95135,92267,89871,87848,86108,84577,83175
Kyrgyzstan,496,,,780,855,956,1107,1279,1480,1690,1922,2184,2298,2397,2526,2713,2959,3179,3364,3519,3657,3785,3909,4028,4135,4218,4281,4330,4372,4409,4437,4455,4472,4487
Tajikistan,410,,,19211,21169,25074,28393,31437,34713,37451,40502,42972,44653,46206,47606,49090,50293,51251,51982,52519,52715,52398,51649,50593,49321,47926,46515,45101,43699,42359,41139,40101,39219,38504
Turkmenistan,158,,,7562,8852,10493,12454,14559,16080,17810,19226,20232,21156,21935,22704,23200,23381,23402,23298,23116,22814,22320,21622,20778,19838,18875,17920,16980,16052,15163,14352,13643,13029,12518
Uzbekistan,921,,,511574,558589,618559,690968,774758,869960,980320,1105478,1239666,1372574,1507050,1639167,1765129,1890288,2012032,2124700,2226204,2316048,2393790,2459650,2512459,2552024,2577995,2591154,2593644,2586502,2571370,2549572,2522892,2491812,2456649
Afghanistan,5500,,,18131,20793,24616,29096,33156,37349,41277,45738,50405,53178,55117,58043,62139,67314,71872,75692,78827,81616,84263,86690,88664,90064,90944,91464,91773,91921,91908,91702,91314,90737,90000
Bangladesh,398,,,6703,7992,9996,11909,13110,14136,14919,15780,16530,15926,14957,15452,16311,17625,18616,19420,20072,20665,21265,21875,22447,22921,23282,23561,23814,24068,24325,24546,24693,24740,24712
Bhutan,417,,,1740,1902,2172,2573,2964,3299,3627,4013,4395,4592,4955,5115,5465,5940,6384,6766,7097,7408,7713,7998,8248,8454,8618,8748,8854,8940,9009,9058,9085,9082,9046
India,762,,,1532,1775,2064,2490,2920,3413,3918,4541,5297,5784,6186,6806,7582,8482,9419,10300,11102,11878,12685,13511,14288,14973,15577,16133,16657,17136,17546,17884,18157,18381,18559
Iran(IslamicRepublicof),795,,,1211,1356,1594,1890,2188,2520,2861,3229,3668,4188,4501,4748,5042,5374,5685,5952,6160,6316,6432,6513,6555,6555,6514,6437,6337,6223,6104,5981,5857,5731,5606
Maldives,860,,,6945,7769,8789,10234,11973,13981,15952,18174,20515,22687,24518,25922,27740,29893,31767,33254,34397,35349,36168,36792,37126,37160,36953,36585,36111,35554,34924,34233,33522,32803,32077
Nepal,5501,,,493443,537796,593943,661873,741603,832611,939043,1059740,1189261,1319396,1451933,1581124,1702991,1822974,1940160,2049008,2147377,2234432,2309527,2372960,2423795,2461960,2487052,2499690,2501871,2494581,2479462,2457869,2431578,2401075,2366649
Pakistan,4,,,7752,8270,8995,9935,11121,12583,13211,11630,12068,16773,19702,24400,27962,32527,36443,40197,43852,47362,50602,53487,55955,57998,59619,60797,61507,61741,61518,60913,60007,58889,57638
SriLanka,50,,,37895,42122,48201,55835,65049,71247,81364,93015,105983,118428,131281,142930,151617,160996,170467,179063,186460,192500,197134,200381,202209,202703,201942,200020,197165,193549,189317,184679,179711,174618,169541
BruneiDarussalam,64,,,177,200,224,253,291,349,413,469,536,509,564,651,720,775,817,855,886,911,929,942,950,952,948,938,922,903,881,858,836,814,793
Cambodia,356,,,376325,409280,449662,497920,553943,621704,697230,782085,870602,960875,1053481,1144326,1230985,1311051,1388859,1461625,1527658,1585350,1633728,1673619,1705333,1729354,1745182,1752843,1753604,1747946,1737150,1722039,1704073,1683339,1659786
Indonesia,364,,,17119,19294,21907,24955,28514,32731,38668,47291,56169,60319,65850,70122,74253,79109,83403,86497,88529,89996,91205,92060,92219,91405,89617,87097,84217,81312,78601,76162,73941,71795,69637
LaoPeople'sDemocraticRepublic,462,,,74,80,90,103,116,136,158,190,223,254,280,305,333,364,393,417,437,453,469,483,494,501,503,501,497,490,481,470,459,448,438
Malaysia,524,,,8483,9290,10057,10905,11987,13313,14890,16714,18742,21391,23740,25507,26876,28514,30184,31754,33104,34187,35027,35688,36159,36416,36439,36230,35797,35142,34283,33262,32110,30893,29677
Myanmar,586,,,37542,40427,44912,50849,58094,66791,78072,92165,107608,122600,138250,153356,170044,188925,208437,227182,244916,262127,278987,295089,309640,322270,332978,342007,349490,355428,359782,362675,364284,364776,364283
Philippines,144,,,8076,8833,9896,11118,12487,13756,15037,16181,17331,18248,18784,19526,20201,20715,21157,21417,21536,21546,21446,21211,20836,20362,19824,19257,18672,18071,17450,16811,16158,15501,14857
Singapore,920,,,164900,186430,213838,245876,281521,319721,358106,401712,445665,486881,526179,563157,596708,633490,667627,698154,724848,747730,766623,781401,792139,799171,803096,804380,803509,800763,796385,790623,783929,776785,769404
Thailand,96,,,48,63,82,103,130,161,193,223,257,295,331,362,393,423,450,475,496,513,528,539,546,549,549,545,538,530,522,513,505,497,489
Timor-Leste,116,,,4433,5045,5722,6467,7022,7552,6718,7743,9009,10694,12198,13320,14364,15578,16809,17944,18991,19988,20939,21806,22545,23158,23656,24047,24315,24458,24485,24427,24316,24148,23928
VietNam,360,,,69543,77328,87793,100309,114835,130724,147490,165012,181437,196958,211540,226255,241613,257564,271857,284505,295482,304847,312439,318216,322237,324727,326038,326420,326116,325248,323864,321855,319316,316497,313648
Armenia,418,,,1683,1890,2120,2381,2686,3048,3253,3680,4248,4858,5343,5745,6261,6802,7398,7966,8489,8973,9421,9826,10172,10456,10673,10825,10914,10941,10910,10832,10717,10578,10411
Azerbaijan,458,,,6110,7016,8161,9570,10909,12312,13834,15764,18211,20725,23421,25796,28120,30331,32374,34334,36107,37618,38853,39862,40725,41448,41995,42325,42418,42306,42059,41753,41437,41119,40778
Bahrain,104,,,17527,19282,21486,24024,27166,30641,34471,38509,42007,44711,47670,49985,51733,53897,56242,58373,60242,61752,62804,63387,63575,63483,63171,62670,61990,61131,60122,59027,57956,56952,56026
Cyprus,608,,,18580,22179,26273,30914,35805,41295,47397,54324,61947,69836,77932,86141,93039,100699,108436,116151,123575,130556,137020,142921,148260,152971,157074,160518,163318,165484,167016,168033,168609,168814,168618
Georgia,702,,,1022,1306,1634,1880,2074,2262,2415,2709,3016,3483,3918,4496,5079,5604,6007,6231,6418,6558,6647,6686,6681,6636,6561,6467,6360,6241,6116,5988,5859,5726,5593
Iraq,764,,,20710,23711,27397,31823,36885,42335,47385,52041,56583,59266,62693,65864,66692,67959,68581,68637,68250,67442,66190,64507,62452,60133,57698,55277,52956,50748,48674,46719,44882,43169,41604
Israel,626,,,433,461,500,547,603,662,578,657,740,856,847,989,1057,1185,1315,1445,1577,1712,1856,2009,2162,2309,2448,2581,2709,2831,2940,3036,3117,3182,3234
Jordan,704,,,24810,28148,32671,37860,43407,48729,54373,61049,68210,75199,80286,84204,88358,93448,98157,102093,105220,107773,109925,111642,112783,113299,113233,112706,111875,110846,109677,108439,107215,106102,105076
Kuwait,922,,,50957,58088,66156,75524,86037,98849,113786,131237,148552,166656,184957,205806,232703,257231,279094,300747,321580,341389,360511,378674,395491,410666,424144,436066,446603,455917,464084,471135,477085,481921,485736
Lebanon,51,,,1354,1564,1867,2205,2518,2826,3096,3339,3545,3223,3076,3015,2963,3018,3038,3029,2993,2940,2879,2809,2729,2638,2542,2440,2335,2228,2124,2028,1942,1865,1793
Oman,31,,,2896,3328,3898,4580,5178,5694,6164,6674,7217,7771,8118,8563,9100,9754,10241,10547,10727,10860,10961,11001,10963,10872,10749,10609,10457,10298,10142,10004,9883,9764,9636
Qatar,48,,,116,134,163,187,213,267,360,419,496,564,667,867,1261,1377,1486,1571,1642,1705,1759,1797,1822,1834,1834,1824,1805,1778,1746,1711,1674,1638,1602
SaudiArabia,196,,,494,530,573,581,614,650,685,704,767,855,943,1033,1104,1165,1218,1262,1300,1332,1359,1383,1402,1416,1425,1428,1425,1418,1410,1401,1395,1390,1386
StateofPalestine,268,,,3527,3839,4160,4477,4707,4908,5073,5287,5460,5067,4744,4475,4250,4000,3977,3934,3868,3779,3680,3584,3483,3371,3247,3118,2992,2876,2772,2678,2593,2514,2438
SyrianArabRepublic,368,,,5719,6503,7290,8376,9918,11685,13653,15576,17478,20218,23575,27018,30868,36423,41972,47797,54071,60873,68127,75758,83652,91728,99958,108331,116776,125199,133507,141608,149428,156882,163905
Turkey,376,,,1258,1719,2090,2523,2850,3337,3745,4083,4499,5332,6014,6604,7420,8064,8718,9359,9998,10646,11301,11962,12610,13228,13808,14354,14873,15366,15833,16267,16655,16995,17285
UnitedArabEmirates,400,,,449,646,889,1120,1655,1985,2281,2783,3358,4320,4767,5333,6518,7595,8167,8547,9109,9808,10492,11137,11717,12217,12644,13013,13335,13612,13835,14000,14105,14154,14147
Yemen,414,,,152,195,262,482,750,1051,1384,1735,2059,1637,1929,2264,3059,3892,4317,4672,4987,5252,5499,5725,5924,6081,6193,6266,6314,6355,6394,6432,6462,6481,6484
Belarus,634,,,25,36,47,74,109,164,224,371,476,501,593,837,1766,2235,2452,2640,2781,2902,3013,3115,3205,3278,3332,3367,3381,3377,3352,3312,3262,3213,3170
Bulgaria,682,,,3121,3558,4087,4844,5836,7429,9913,13361,16361,18854,21392,24745,28091,31540,34366,36847,39132,41235,43136,44763,46059,47021,47686,48144,48453,48649,48722,48654,48427,48059,47586
CzechRepublic,275,,,932,988,1069,1192,1125,1322,1509,1759,2101,2618,3224,3579,4069,4668,5333,6040,6765,7504,8259,9025,9791,10544,11273,11970,12628,13241,13804,14317,14776,15175,15516
Hungary,760,,,3413,3922,4593,5398,6379,7564,8956,10667,12452,14332,16354,18133,20721,18502,20994,25559,28647,30424,32070,33571,34902,36039,36958,37658,38167,38508,38703,38754,38667,38444,38098
Poland,792,,,21238,24253,27553,31000,34772,39186,43906,49178,53995,58522,63240,67861,72310,78666,82256,84862,87717,90461,92744,94544,95819,96588,96856,96650,96043,95121,93973,92654,91197,89620,87983
RepublicofMoldova,784,,,70,80,93,150,235,531,1017,1350,1811,2350,3050,4482,8329,9157,9822,10434,10977,11500,11995,12430,12789,13068,13283,13449,13567,13625,13619,13555,13480,13419,13389
Romania,887,,,4402,4768,5166,5619,6156,6794,8059,9774,11961,15266,17795,20504,23592,26832,30030,33181,36335,39361,42211,44839,47170,49126,50657,51755,52443,52795,52851,52661,52244,51617,50826
RussianFederation,908,,,549089,576664,605619,635118,657221,677318,693859,707899,721086,727778,726407,729007,735395,738442,739725,738090,733929,728037,721355,714355,706793,698296,689029,679703,671372,664591,659399,655475,652175,648950,645577
Slovakia,923,,,220171,237095,253630,267164,276396,285657,295042,303699,310027,309569,303789,297482,294591,292943,289796,284929,278596,271397,264321,257838,251756,245675,239381,233017,227101,222131,218308,215425,212963,210528,208024
Ukraine,112,,,7745,7804,8190,8607,9039,9366,9654,9991,10232,10160,9952,9641,9492,9496,9365,9194,8977,8740,8513,8311,8125,7942,7757,7576,7416,7284,7183,7109,7046,6984,6916
ChannelIslands,203,,,8903,9353,9579,9801,9811,10058,10338,10316,10324,10336,10263,10231,10507,10543,10573,10550,10461,10328,10194,10077,9965,9835,9672,9480,9286,9123,9007,8931,8876,8828,8774
Denmark,348,,,9338,9829,10001,10170,10346,10541,10759,10573,10385,10352,10224,10096,10015,9855,9685,9492,9275,9032,8784,8546,8318,8095,7865,7628,7400,7196,7021,6873,6742,6622,6506
Estonia,616,,,24824,27270,29716,31540,32817,34168,35783,37486,38195,38592,38486,38464,38575,38612,38407,37924,37207,36297,35286,34228,33136,32010,30827,29564,28245,26937,25732,24680,23783,23001,22289
FaroeIslands,498,,,2341,2627,3004,3336,3595,3839,4010,4215,4364,4339,4201,4158,4084,4069,4021,3945,3839,3707,3557,3402,3243,3079,2909,2731,2555,2390,2246,2125,2024,1936,1856
Finland,642,,,16236,17484,18614,19380,20549,21666,22612,23104,23489,22965,22128,21408,20299,19511,18848,18229,17639,17046,16449,15835,15207,14567,13932,13337,12815,12368,11983,11635,11309,10997,10700
Iceland,643,,,102799,111355,119860,126484,130126,133788,138063,142976,147569,148293,146401,143623,143158,143457,142898,141205,138652,135674,132892,130588,128599,126655,124604,122534,120728,119439,118741,118471,118281,117938,117445
Ireland,703,,,3437,3813,4137,4379,4532,4744,4989,5158,5278,5363,5386,5385,5407,5426,5435,5414,5353,5255,5136,5013,4892,4766,4628,4477,4322,4178,4056,3958,3876,3803,3732
IsleofMan,804,,,37298,40019,42662,45262,47087,48759,49969,50921,51370,50812,48746,46795,45647,44824,43679,42373,40892,39329,37818,36423,35117,33829,32542,31287,30149,29217,28492,27923,27415,26912,26400
Latvia,924,,,78030,79528,81790,84839,87305,88957,89833,90644,92040,93153,94397,96239,99682,102358,105207,107840,110126,112110,113973,115809,117563,119102,120416,121601,122781,123979,125116,126144,127075,127927,128679
Lithuania,830,,,102,106,109,115,121,126,128,134,141,144,149,154,160,164,167,171,174,177,179,180,181,181,181,181,182,182,182,182,182,182,182
Norway,208,,,4268,4440,4581,4760,4930,5061,5123,5113,5140,5233,5338,5418,5551,5669,5776,5892,6003,6097,6173,6237,6299,6363,6430,6499,6568,6633,6690,6736,6773,6805,6838
Sweden,233,,,1101,1159,1217,1290,1360,1422,1474,1522,1565,1433,1399,1356,1332,1313,1295,1272,1243,1212,1183,1156,1129,1101,1072,1042,1014,988,966,947,932,918,904
UnitedKingdom,234,,,32,32,34,36,39,41,43,46,48,44,46,48,49,48,49,49,50,51,52,52,52,52,52,52,53,53,53,53,53,53,52
Albania,352,,,143,158,176,192,204,218,228,241,255,267,281,297,318,329,342,354,364,373,380,385,389,391,393,394,394,394,393,391,389,387,384
Andorra,372,,,2913,2899,2819,2857,2947,3181,3431,3560,3563,3645,3842,4204,4617,4688,4874,5048,5204,5360,5519,5667,5789,5879,5943,5997,6050,6107,6170,6234,6293,6340,6372
BosniaandHerzegovina,833,,,55,52,48,51,57,61,65,64,70,72,77,80,84,88,91,94,96,99,101,102,104,105,107,108,109,110,111,112,113,114,114
Croatia,428,,,1949,2015,2132,2261,2366,2457,2513,2582,2664,2488,2371,2228,2091,1971,1919,1865,1806,1747,1692,1642,1593,1548,1504,1462,1423,1388,1358,1334,1315,1297,1278
Gibraltar,440,,,2567,2630,2771,2967,3137,3300,3432,3564,3697,3628,3486,3343,3123,2878,2795,2725,2655,2580,2505,2437,2375,2321,2272,2225,2181,2141,2107,2079,2056,2034,2013
Greece,578,,,3265,3429,3582,3724,3876,4006,4083,4148,4240,4360,4492,4624,4891,5211,5494,5725,5945,6142,6321,6491,6658,6816,6961,7094,7222,7345,7462,7569,7667,7759,7845
